File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF171SGM	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR550WUX	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF652JPJ/	3691172	ENCODE Processing Pipeline	841262ecdee88a0ff12c9ee2aca93ea3		https://www.encodeproject.org/files/ENCFF171SGM/@@download/ENCFF171SGM.bigBed				released	s3://encode-public/2020/08/14/5e483395-eda0-4b26-95b5-758bd77530be/ENCFF171SGM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/5e483395-eda0-4b26-95b5-758bd77530be/ENCFF171SGM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, low read depth		
ENCFF331IOZ	bigWig	bigWig		signal p-value	GRCh38	ENCSR550WUX	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF344SHY/, /files/ENCFF877HVL/	531966560	ENCODE Processing Pipeline	2a22344657c46cf0fa8a990c32e3bc30		https://www.encodeproject.org/files/ENCFF331IOZ/@@download/ENCFF331IOZ.bigWig				released	s3://encode-public/2020/08/14/dae57383-abca-455b-a476-29aacacf6472/ENCFF331IOZ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/dae57383-abca-455b-a476-29aacacf6472/ENCFF331IOZ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, low read depth		
ENCFF554VNI	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR456TZO	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF344SHY/, /files/ENCFF341HYH/, /files/ENCFF356LFX/	502611	ENCODE Processing Pipeline	061c91153316edd8c6b2b5ed35cdfc06		https://www.encodeproject.org/files/ENCFF554VNI/@@download/ENCFF554VNI.bed.gz				released	s3://encode-public/2020/08/14/e4e77b6d-6438-4025-a50f-9f36294eab42/ENCFF554VNI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/e4e77b6d-6438-4025-a50f-9f36294eab42/ENCFF554VNI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released		insufficient read depth, control insufficient read depth	
ENCFF308TWI	bigWig	bigWig		signal p-value	GRCh38	ENCSR456TZO	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF341HYH/, /files/ENCFF344SHY/	605263040	ENCODE Processing Pipeline	e4eadecd4cdbe2dcd49faf271ef89e95		https://www.encodeproject.org/files/ENCFF308TWI/@@download/ENCFF308TWI.bigWig				released	s3://encode-public/2020/08/14/d5ebc4e0-fb90-4047-a320-a541dbb57f13/ENCFF308TWI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/d5ebc4e0-fb90-4047-a320-a541dbb57f13/ENCFF308TWI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released		insufficient read depth, control insufficient read depth	
ENCFF897PLD	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR456TZO	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF554VNI/	1103036	ENCODE Processing Pipeline	7cf2371f4d2d9dff1af0748d5578eec7		https://www.encodeproject.org/files/ENCFF897PLD/@@download/ENCFF897PLD.bigBed				released	s3://encode-public/2020/08/14/8f1a0f17-49f4-430f-a9a8-f91ac5962c8a/ENCFF897PLD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/8f1a0f17-49f4-430f-a9a8-f91ac5962c8a/ENCFF897PLD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released		insufficient read depth, control insufficient read depth	
ENCFF485XPN	bigWig	bigWig		signal p-value	GRCh38	ENCSR413WJD	Histone ChIP-seq	/human-donors/ENCDO308YQF/	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF684ZXS/, /files/ENCFF859BWX/	546197320	ENCODE Processing Pipeline	efe3e44d5d4002ae0fea7c1a819259fa		https://www.encodeproject.org/files/ENCFF485XPN/@@download/ENCFF485XPN.bigWig				released	s3://encode-public/2020/08/14/c2e5014f-ac13-40d6-89f6-c75fe945562e/ENCFF485XPN.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/c2e5014f-ac13-40d6-89f6-c75fe945562e/ENCFF485XPN.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth		
ENCFF864GPE	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR413WJD	Histone ChIP-seq	/human-donors/ENCDO308YQF/	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF069GQK/	2688405	ENCODE Processing Pipeline	287e992ff90e1d9bf748a81c1ca7e840		https://www.encodeproject.org/files/ENCFF864GPE/@@download/ENCFF864GPE.bigBed				released	s3://encode-public/2020/08/14/86a7fcb0-c194-43ae-81f6-d6bb8d8c9934/ENCFF864GPE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/86a7fcb0-c194-43ae-81f6-d6bb8d8c9934/ENCFF864GPE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth		
ENCFF069GQK	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR413WJD	Histone ChIP-seq	/human-donors/ENCDO308YQF/	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF356LFX/, /files/ENCFF684ZXS/, /files/ENCFF859BWX/	1048993	ENCODE Processing Pipeline	3e35e243e125d79686fd2ed92c54d91a		https://www.encodeproject.org/files/ENCFF069GQK/@@download/ENCFF069GQK.bed.gz				released	s3://encode-public/2020/08/14/dc1e15b3-59f3-4c65-a2a2-6f93941079bf/ENCFF069GQK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/dc1e15b3-59f3-4c65-a2a2-6f93941079bf/ENCFF069GQK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length, low read depth		
ENCFF170SDA	bigWig	bigWig		signal p-value	GRCh38	ENCSR429MNF	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF974SDR/, /files/ENCFF673HIK/	480591899	ENCODE Processing Pipeline	0a2a5dfedf889c8b06a9aba897f23b20		https://www.encodeproject.org/files/ENCFF170SDA/@@download/ENCFF170SDA.bigWig				released	s3://encode-public/2020/08/14/95670a86-c06c-46c1-ba4d-16387f1eeba7/ENCFF170SDA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/95670a86-c06c-46c1-ba4d-16387f1eeba7/ENCFF170SDA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF446ICC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR429MNF	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF356LFX/, /files/ENCFF974SDR/, /files/ENCFF673HIK/	1807626	ENCODE Processing Pipeline	a43466e274d25503f875d4595a95e801		https://www.encodeproject.org/files/ENCFF446ICC/@@download/ENCFF446ICC.bed.gz				released	s3://encode-public/2020/08/14/1e76ea77-77ae-43f9-8acf-20936768f102/ENCFF446ICC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/1e76ea77-77ae-43f9-8acf-20936768f102/ENCFF446ICC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF303EJG	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR429MNF	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF446ICC/	3840752	ENCODE Processing Pipeline	0df97c43295de655085d987debb49ca0		https://www.encodeproject.org/files/ENCFF303EJG/@@download/ENCFF303EJG.bigBed				released	s3://encode-public/2020/08/14/231d6ca1-34a6-432b-a0ab-491f500a8af6/ENCFF303EJG.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/231d6ca1-34a6-432b-a0ab-491f500a8af6/ENCFF303EJG.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF637BDQ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR111KKC	Histone ChIP-seq	/human-donors/ENCDO670CKN/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF331DGB/	1856403	ENCODE Processing Pipeline	940ff1fb4755ce9b51e13d463f70e210		https://www.encodeproject.org/files/ENCFF637BDQ/@@download/ENCFF637BDQ.bigBed				released	s3://encode-public/2020/08/14/a672b9f2-c5e1-4981-afdf-429643a81101/ENCFF637BDQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/a672b9f2-c5e1-4981-afdf-429643a81101/ENCFF637BDQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF238XGJ	bigWig	bigWig		signal p-value	GRCh38	ENCSR111KKC	Histone ChIP-seq	/human-donors/ENCDO670CKN/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF386EGY/, /files/ENCFF859BWX/	532377010	ENCODE Processing Pipeline	b398c38b8192c51c9218c8ada78ca8f7		https://www.encodeproject.org/files/ENCFF238XGJ/@@download/ENCFF238XGJ.bigWig				released	s3://encode-public/2020/08/14/6bda252d-d27f-4456-ba46-aac3cd8583ad/ENCFF238XGJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/6bda252d-d27f-4456-ba46-aac3cd8583ad/ENCFF238XGJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF331DGB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR111KKC	Histone ChIP-seq	/human-donors/ENCDO670CKN/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF386EGY/, /files/ENCFF356LFX/, /files/ENCFF859BWX/	999984	ENCODE Processing Pipeline	244d5d66015e67cf9e9e62038fa497e3		https://www.encodeproject.org/files/ENCFF331DGB/@@download/ENCFF331DGB.bed.gz				released	s3://encode-public/2020/08/14/11c0b236-1ffe-4c1b-a508-c9380d7adbc5/ENCFF331DGB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/11c0b236-1ffe-4c1b-a508-c9380d7adbc5/ENCFF331DGB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF136DUP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR322BLC	Histone ChIP-seq	/human-donors/ENCDO316SVQ/	UBERON:0002048	lung	tissue	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF356LFX/, /files/ENCFF435DYM/, /files/ENCFF025JVZ/	898512	ENCODE Processing Pipeline	9b98dd3cfaba38f11bd419ae0ea380e6		https://www.encodeproject.org/files/ENCFF136DUP/@@download/ENCFF136DUP.bed.gz				released	s3://encode-public/2020/08/14/37b874cd-1e85-4e81-9eb8-f87e18c0eb3b/ENCFF136DUP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/37b874cd-1e85-4e81-9eb8-f87e18c0eb3b/ENCFF136DUP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF305ZXD	bigWig	bigWig		signal p-value	GRCh38	ENCSR322BLC	Histone ChIP-seq	/human-donors/ENCDO316SVQ/	UBERON:0002048	lung	tissue	Homo sapiens										H3K9me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF435DYM/, /files/ENCFF025JVZ/	608474966	ENCODE Processing Pipeline	f4618a2eb0d13874c52ffac3184372e3		https://www.encodeproject.org/files/ENCFF305ZXD/@@download/ENCFF305ZXD.bigWig				released	s3://encode-public/2020/08/14/984aa9d4-4052-4925-924b-ee4fdbc498cf/ENCFF305ZXD.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/984aa9d4-4052-4925-924b-ee4fdbc498cf/ENCFF305ZXD.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
